bailable,energia,volumen,hablado,acustico,instrumental,directo,valencia,popularidad,clave,modo,tempo,genero
0.706,0.913,-3.284,0.139,0.115,0.0,0.256,0.712,47,11,0,149.886,0
0.682,0.851,-6.343,0.317,0.214,0.0,0.363,0.821,44,10,0,89.924,0
0.667,0.641,-11.009,0.609,0.572,0.0,0.311,0.963,54,8,1,169.968,0
0.754,0.721,-5.327,0.123,0.418,0.0,0.155,0.832,35,10,1,95.043,0
0.855,0.68,-8.041,0.428,0.0601,0.0,0.0417,0.818,45,8,1,129.842,0
0.559,0.986,-2.669,0.239,0.141,0.000134,0.128,0.253,48,7,1,149.974,0
0.744,0.813,-7.401,0.154,0.000514,0.0,0.0685,0.149,51,9,1,108.056,0
0.784,0.45,-12.473,0.248,0.474,0.0,0.193,0.608,54,0,1,103.01,0
0.731,0.654,-6.619,0.0548,0.296,3.47e-06,0.51,0.786,27,1,0,152.918,0
0.766,0.618,-8.552,0.124,0.0187,0.000115,0.181,0.513,64,11,0,95.054,0
0.813,0.638,-8.12,0.291,0.0492,3.68e-05,0.248,0.622,35,11,0,99.942,0
0.777,0.796,-3.528,0.182,0.00387,1.24e-05,0.0852,0.768,51,5,1,166.97,0
0.831,0.773,-3.657,0.207,0.0826,0.0,0.146,0.78,37,0,1,94.026,0
0.69,0.651,-4.673,0.164,0.245,0.0,0.19,0.201,35,0,1,98.025,0
0.484,0.948,-4.296,0.451,0.0473,0.0,0.0565,0.686,61,1,0,125.645,0
0.818,0.439,-7.316,0.23,0.0561,0.0,0.136,0.407,43,11,1,134.885,0
0.765,0.91,-4.129,0.275,0.0566,0.0,0.131,0.55,32,0,1,120.057,0
0.675,0.689,-11.481,0.407,0.00898,0.0,0.154,0.789,51,1,1,197.891,0
0.548,0.534,-10.493,0.342,0.0898,0.0,0.138,0.192,37,9,1,155.872,0
0.639,0.842,-6.414,0.331,0.433,5.46e-05,0.103,0.761,30,2,0,184.023,0
0.885,0.58,-10.24,0.225,0.719,8.74e-05,0.12,0.94,31,10,0,93.981,0
0.608,0.919,-7.203,0.0758,0.137,0.000276,0.243,0.728,44,9,0,160.029,0
0.734,0.714,-6.293,0.15,0.2,0.0287,0.318,0.61,13,6,1,169.995,0
0.712,0.692,-4.29,0.274,0.153,0.0,0.205,0.326,54,6,0,95.025,0
0.885,0.787,-4.946,0.248,0.045,0.0,0.151,0.861,31,6,1,94.996,0
0.815,0.741,-3.549,0.127,0.0393,0.0,0.0962,0.251,27,9,1,132.055,0
0.779,0.492,-6.962,0.307,0.171,0.0,0.0979,0.72,33,1,1,95.041,0
0.618,0.972,-2.678,0.311,0.0394,0.000148,0.394,0.692,44,1,1,175.77,0
0.805,0.766,-4.549,0.109,0.13,0.0,0.336,0.562,30,5,1,115.94,0
0.72,0.707,-9.996,0.474,0.394,0.0,0.783,0.16,31,4,0,139.885,0
0.94,0.577,-5.838,0.0827,0.00137,0.000335,0.0965,0.0861,44,1,1,126.961,0
0.715,0.61,-11.112,0.18,0.0245,0.0,0.36,0.398,30,0,1,135.14,0
0.818,0.807,-7.55,0.238,0.0208,0.0,0.25,0.571,31,2,1,134.024,0
0.687,0.932,-3.519,0.286,0.308,0.00192,0.18,0.478,45,10,0,145.169,0
0.797,0.736,-5.6,0.147,0.0196,0.0,0.0858,0.562,38,2,1,100.041,0
0.74,0.728,-5.051,0.265,0.129,0.000395,0.191,0.485,28,11,0,84.989,0
0.597,0.748,-5.906,0.223,0.0448,0.0,0.626,0.73,48,0,1,165.907,0
0.64,0.492,-12.924,0.366,0.0745,0.0,0.124,0.395,29,10,0,159.664,0
0.926,0.341,-14.941,0.315,0.202,3.56e-05,0.112,0.473,35,11,0,120.103,0
0.811,0.676,-8.323,0.266,0.0226,0.0,0.0668,0.589,33,1,1,89.93,0
0.708,0.583,-7.067,0.121,0.27,0.0,0.337,0.817,29,5,0,81.032,0
0.414,0.309,-11.858,0.0343,0.863,0.819,0.0923,0.184,64,1,0,90.026,0
0.616,0.375,-16.921,0.0405,0.905,0.896,0.332,0.333,63,5,1,159.972,0
0.82,0.17,-12.969,0.0971,0.416,0.859,0.0986,0.29,59,1,1,129.993,0
0.797,0.0832,-12.673,0.203,0.484,0.81,0.239,0.51,64,11,1,160.048,0
0.669,0.245,-13.548,0.0438,0.813,0.903,0.0835,0.394,53,0,0,109.488,0
0.634,0.424,-14.347,0.265,0.942,0.727,0.133,0.131,10,2,1,133.52,0
0.686,0.373,-16.007,0.118,0.532,0.926,0.075,0.203,61,11,0,83.203,0
0.777,0.213,-15.491,0.16,0.562,0.889,0.185,0.563,60,10,1,141.19,0
0.886,0.232,-9.919,0.4,0.247,0.906,0.114,0.661,62,6,0,130.015,0
0.563,0.206,-18.479,0.121,0.753,0.822,0.0841,0.251,57,3,0,158.148,0
0.545,0.227,-15.497,0.033,0.972,0.866,0.105,0.0965,57,0,0,130.121,0
0.516,0.248,-13.078,0.0446,0.773,0.807,0.0987,0.133,59,6,1,89.915,0
0.685,0.295,-12.472,0.0284,0.909,0.917,0.179,0.0878,55,4,1,103.984,0
0.644,0.548,-7.459,0.0621,0.0926,0.871,0.0708,0.179,58,3,0,129.954,0
0.777,0.101,-11.868,0.202,0.604,0.339,0.0881,0.504,57,8,1,82.924,0
0.82,0.139,-10.941,0.362,0.637,0.776,0.101,0.658,61,8,1,74.993,0
0.661,0.416,-10.504,0.755,0.97,0.878,0.0856,0.374,57,11,1,78.031,0
0.652,0.197,-20.895,0.061,0.799,0.932,0.108,0.329,54,3,0,80.1,0
0.416,0.422,-15.453,0.127,0.829,0.00576,0.109,0.0396,59,0,0,99.319,0
0.607,0.322,-10.949,0.134,0.397,0.878,0.643,0.381,63,0,1,174.086,0
0.559,0.31,-10.53,0.373,0.526,0.937,0.147,0.395,61,5,0,188.177,0
0.835,0.453,-6.316,0.0543,0.186,0.229,0.139,0.601,57,5,0,92.999,0
0.7,0.134,-17.898,0.0771,0.592,0.845,0.107,0.435,57,9,1,160.033,0
0.639,0.308,-12.329,0.0571,0.863,0.833,0.0648,0.478,59,0,1,79.518,0
0.653,0.167,-19.743,0.0396,0.958,0.931,0.0986,0.461,38,5,1,75.962,0
0.722,0.234,-13.737,0.134,0.801,0.845,0.0955,0.492,56,6,1,63.245,0
0.374,0.237,-10.796,0.163,0.957,0.822,0.088,0.417,62,6,1,83.271,0
0.506,0.353,-11.61,0.443,0.276,0.916,0.695,0.471,60,0,0,152.003,0
0.689,0.33,-11.169,0.106,0.232,0.873,0.123,0.339,58,2,0,80.408,0
0.639,0.359,-8.64,0.0662,0.0839,0.769,0.116,0.149,58,8,1,91.094,0
0.542,0.366,-16.079,0.0375,0.602,0.871,0.196,0.0551,43,11,1,115.683,0
0.735,0.124,-23.952,0.0419,0.956,0.923,0.145,0.301,55,8,0,117.046,0
0.625,0.456,-8.622,0.118,0.936,0.0226,0.105,0.0694,54,4,0,143.552,0
0.734,0.144,-10.34,0.0426,0.649,0.769,0.105,0.175,56,11,0,74.972,0
0.738,0.45,-12.838,0.0634,0.429,0.345,0.108,0.513,56,0,1,144.325,0
0.606,0.554,-8.965,0.0583,0.863,0.738,0.0943,0.537,54,11,1,79.983,0
0.649,0.873,-6.099,0.484,0.375,0.159,0.154,0.848,58,6,1,125.424,0
0.579,0.13,-16.266,0.0973,0.447,0.928,0.09,0.59,55,11,0,76.006,0
0.286,0.194,-19.185,0.0389,0.429,0.874,0.334,0.16,56,4,0,144.636,0
0.689,0.377,-17.186,0.042,0.845,0.89,0.112,0.137,55,10,1,126.929,0
0.517,0.509,-9.917,0.137,0.407,0.311,0.251,0.37,52,3,1,74.98,0
0.669,0.537,-10.599,0.0628,0.253,0.805,0.158,0.725,58,10,0,155.99,0
0.599,0.336,-13.686,0.05,0.74,0.6,0.168,0.184,56,11,1,123.011,0
0.647,0.0668,-17.098,0.0571,0.865,0.9,0.0983,0.279,57,10,1,77.002,0
0.622,0.0701,-13.016,0.0421,0.495,0.911,0.102,0.247,62,0,1,77.065,0
0.82,0.535,-5.193,0.0356,0.197,0.893,0.11,0.51,60,0,1,162.023,0
0.674,0.648,-10.901,0.0423,0.88,0.916,0.0985,0.329,58,10,1,85.017,0
0.784,0.346,-12.193,0.0645,0.226,0.899,0.0869,0.379,59,6,0,145.553,0
0.444,0.316,-9.804,0.0462,0.495,0.916,0.132,0.365,59,2,1,87.062,0
0.736,0.292,-18.504,0.131,0.765,0.802,0.428,0.236,55,11,0,85.011,0
0.444,0.26,-19.291,0.0695,0.846,0.764,0.375,0.289,62,11,0,112.062,0
0.804,0.164,-14.07,0.0492,0.0365,0.831,0.0927,0.419,61,4,1,126.953,0
