bailable,energia,valencia,acustico,instrumental,popularidad,tempo,genero
0.575,0.793,0.241,0.174,0.000113,31,128.144,0
0.504,0.459,0.26,0.649,9.51e-06,24,124.263,0
0.65,0.878,0.781,0.148,0.0,49,120.001,0
0.725,0.685,0.612,0.00423,0.0,32,109.952,0
0.562,0.748,0.492,0.0575,0.0,42,100.032,0
0.612,0.843,0.322,0.152,0.00163,29,125.997,0
0.617,0.867,0.785,0.00204,3.6e-05,28,112.964,0
0.653,0.742,0.74,0.0176,0.0,41,122.031,0
0.789,0.697,0.775,0.0461,0.0,30,104.954,0
0.692,0.819,0.657,0.0181,0.00372,30,115.004,0
0.712,0.659,0.734,0.167,0.0,42,101.965,0
0.703,0.885,0.939,0.0275,0.00284,37,123.997,0
0.743,0.782,0.605,0.17,0.0,27,99.869,0
0.697,0.687,0.364,0.265,0.0,29,103.962,0
0.787,0.652,0.839,0.227,0.000228,36,103.933,0
0.702,0.758,0.575,0.198,0.0,40,129.975,0
